,Date_measurement,RNA_flow_per_100000,RNA_per_ml,Measurement_count,RNA_per_100000_per_measurement,pandas_SMA_3,pandas_SMA_7
334,2021-03-19,298280866823507.0,0.0,17,17545933342559.234,16375160021119.15,18849018058786.184
335,2021-03-20,631939642304478.0,0.0,41,15413162007426.293,17192124340864.672,17740147077673.07
336,2021-03-21,5457716240741100.0,0.0,103,52987536317874.76,28648877222620.094,22801119298063.49
337,2021-03-22,2972072450688217.0,0.0,126,23587876592763.63,30662858306021.56,24070566579223.78
338,2021-03-23,2360679205494766.0,0.0,99,23845244499947.133,33473552470195.17,23565614211624.184
339,2021-03-24,3151896146559896.0,0.0,119,26486522239999.125,24639881110903.297,25497650381882.668
340,2021-03-25,2140597535630308.0,0.0,113,18943341023277.062,23091702587741.11,25544230860549.605
341,2021-03-26,1112277474044461.0,0.0,33,33705378001347.305,26378413754874.496,27852722954662.184
342,2021-03-27,732473104596675.0,0.0,35,20927802988476.43,24525507337700.266,28640528809097.918
343,2021-03-28,2522129489648218.0,0.0,94,26831164783491.68,27154781924438.47,24903904304186.055
344,2021-03-29,2829391677520116.0,0.0,127,22278674626142.645,23345880799370.254,24716875451811.625
345,2021-03-30,2301457064183877.0,0.0,101,22786703605780.96,23965514338471.76,24565655324073.598
346,2021-03-31,1796358040965232.0,0.0,102,17611353342796.39,20892243858239.996,23297774053044.637
347,2021-04-01,3353560041110045.0,0.0,137,24478540446058.723,21625532464878.69,24088516827727.73
348,2021-04-02,730249619586696.0,0.0,31,23556439341506.324,21882111043453.812,22638668447750.45
349,2021-04-03,368462299394321.0,0.0,18,20470127744128.945,22835035843897.996,22573286269986.527
350,2021-04-04,474562850793365.0,0.0,25,18982514031734.6,21003027039123.29,21452050448306.94
351,2021-04-05,4012271157442320.0,0.0,157,25555867244855.543,21669503006906.363,21920220822408.785
352,2021-04-06,2525760991976435.0,0.0,76,33233697262847.83,25924026179812.656,23412648487704.05
353,2021-04-07,2771848737361523.0,0.0,84,32998199254303.844,30595921254002.406,25610769332205.117
354,2021-04-08,1868366559504525.0,0.0,117,15968944953030.129,27400280490060.598,24395112833201.03
355,2021-04-09,563107432401924.0,0.0,22,25595792381905.637,24854312196413.203,24686448981829.504
356,2021-04-10,1710250652275291.0,0.0,35,48864304350722.6,30143013895219.453,28742759925628.598
357,2021-04-11,2474988640680820.0,0.0,103,24029015928940.0,32829704220522.746,29463688768086.51
358,2021-04-12,2606658392568664.0,0.0,127,20524869232824.125,31139396504162.24,28744974766367.74
